titre,auteur,type,genre,annee,serie,volume,dispo
Le masque vide,Farmer Phillip José ,Roman,SF,,,,1
Le masque vide,Farmer Phillip José ,Roman,SF,,,,1
le monde lavalite,Farmer Phillip José ,Roman,SF,,,,1
Le privé du cosmos,Farmer Phillip José ,Roman,SF,,,,1
To your scattered bodies go,Farmer Phillip José ,Roman,Étranger,,,,0
Billard Blues,Fermine Maxence ,Roman,Fiction,,,,1
L'ami prodigieuse,Ferrante Elena ,Roman,Fiction,,,,0
La déroute des droufs,Rhodan Perry,Roman,SF,,,,1
Lumière et Matière,Feynman Richard ,Doc,Physique,,,,0
Histoire de Tom Jones,Fielding Henry,Roman,Fiction,,,2,1
Qu'est ce qui fait courir Jeanne,Fielding Joy ,Roman,Polar,,,,0
Gatsby,Fitzgerald F. Scott,Roman,Fiction,,,,1
Madame Bovary,Flaubert Gustave,Roman,Classique,,,,1
L'éducation sentimentale,Flaubert Gustave ,Roman,Classique,,,,1
Comme un vol d'aigle,Follett Ken ,Roman,Polar,,,,0
Le code Rebecca,Follett Ken ,Roman,Polar,,,,0
L'arche de Noé,Fourcade Marie-Madeleine ,Roman,Guerre,,,,0
Le journal d'Anne Franck,Franck Anne,Roman,Classique,,,,1
Le bonheur des autres,Frayn Michael,Théâtre,,,,,1
Mémoires piégée,French Nicci ,Roman,Polar,,,,0
Inhibitions symptôme et angoisse,Freud Sigmund,Essai,Psycho,,,,0
La technique psychanalytique,Freud Sigmund,Essai,Psycho,,,,0
La vie sexuelle,Freud Sigmund,Essai,Psycho,,,,0
Résultats idées problèmes,Freud Sigmund,Essai,Psycho,,,1,0
Résultats idées problèmes,Freud Sigmund,Essai,Psycho,,,2,0
Etude sur l'hystérie,Freud Sigmund et Breuer J.,Essai,Psycho,,,,0
Une histoire perdue,Friedman Carl ,Roman,Fiction,,,,1
Larmes de pierre,Fuller Alexandra ,Roman,Fiction,,,,1
Dans un miroir, obscure,Gaarder Jostein ,Roman,Fiction,,,,1
Maya,Gaarder Jostein ,Roman,SF,,,,0
Le miel de la haine,Gaillard Robert ,Roman,Fiction,,,,1
L'univers à portée de main,Galfard Christophe ,Doc,Physique,,,,0
La fleur au fusil,Galtier-Boissière Jean ,Roman,Guerre,,,,0
Cent ans de solitude,Garcia Marquez Gabriel ,Roman,Fiction,,,,1
la plage,Garland Alex ,Roman,Fiction,,,,1
La gare de rachid,Garnier Pascal ,Roman,Fiction,,,,1
Rédiger un texte académique en français,Garnier Sylvie et Savage Alan ,Doc,Langues,,,,0
La promesse de l'aube,Gary Romain ,Roman,Fiction,,,,1
La mort du roi Tsongor,Gaudé Laurent,Roman,Classique,,,,1
Ensemble, c'est tout,Gavalda Anna ,Roman,Fiction,,,,1
Je l'aimais,Gavalda Anna ,Roman,Fiction,,,,1
Madeleine,Gavin Catherine ,Roman,Fiction,,,,1
Beau-François,Genevoix Maurice ,Roman,Fiction,,,,1
Marcheloup,Genevoix Maurice ,Roman,Fiction,,,,1
